review_count,state,year_month,stars.x
426,MA,2018-01,5
825,FL,2016-07,4
577,MA,2016-05,5
55,OH,2012-08,2
577,MA,2010-08,4
19,MA,2017-09,5
1583,TX,2014-05,5
577,MA,2013-01,3
350,MA,2005-08,3
1082,FL,2015-05,5
964,MA,2014-08,4
1583,TX,2014-05,4
1583,TX,2011-08,3
964,MA,2013-07,5
577,MA,2010-11,1
90,MA,2018-06,3
426,MA,2014-08,1
825,FL,2015-05,5
964,MA,2015-10,5
350,MA,2014-01,5
419,FL,2017-01,5
1082,FL,2015-11,4
1583,TX,2014-10,1
964,MA,2016-03,3
293,MA,2005-08,2
825,FL,2018-02,3
107,FL,2015-12,4
964,MA,2015-11,4
58,BC,2018-02,5
1583,TX,2015-07,1
293,MA,2010-01,4
58,BC,2014-06,4
458,TX,2013-04,4
426,MA,2017-12,5
41,OH,2015-12,5
825,FL,2008-08,4
825,FL,2014-04,5
964,MA,2016-07,5
293,MA,2018-09,2
1583,TX,2018-08,5
133,WA,2017-01,1
1082,FL,2011-12,4
577,MA,2011-06,5
458,TX,2013-10,4
293,MA,2005-08,5
1082,FL,2016-06,3
1583,TX,2017-01,1
133,WA,2018-06,5
1583,TX,2015-08,2
426,MA,2016-01,1
825,FL,2014-09,4
1082,FL,2018-09,3
577,MA,2015-11,4
577,MA,2014-10,4
825,FL,2016-01,4
1583,TX,2013-04,4
964,MA,2013-08,3
419,FL,2015-08,3
55,OH,2016-01,5
1583,TX,2011-07,4
1583,TX,2012-09,4
293,MA,2016-12,5
458,TX,2017-04,5
458,TX,2015-05,4
964,MA,2017-06,5
1583,TX,2014-12,2
1583,TX,2016-08,5
1583,TX,2017-08,4
419,FL,2016-08,5
964,MA,2010-11,5
964,MA,2014-08,5
419,FL,2017-06,2
964,MA,2012-03,5
293,MA,2009-05,2
964,MA,2017-02,4
419,FL,2017-03,1
426,MA,2016-10,4
293,MA,2009-05,3
419,FL,2015-09,4
825,FL,2014-07,5
1583,TX,2013-12,5
577,MA,2012-07,3
426,MA,2014-08,5
964,MA,2017-11,5
1583,TX,2012-03,5
825,FL,2017-09,4
577,MA,2014-02,4
825,FL,2017-11,4
825,FL,2016-10,1
1583,TX,2012-01,2
426,MA,2015-08,1
160,MA,2006-05,5
1583,TX,2015-08,5
1583,TX,2012-04,2
577,MA,2012-12,4
1082,FL,2011-07,4
1082,FL,2014-04,1
293,MA,2015-01,5
825,FL,2009-03,5
58,BC,2016-05,2
964,MA,2012-09,4
1583,TX,2018-04,3
419,FL,2016-07,4
426,MA,2018-05,3
825,FL,2009-10,5
964,MA,2014-06,4
458,TX,2018-07,2
293,MA,2009-08,1
577,MA,2015-01,1
825,FL,2017-11,4
1082,FL,2011-09,3
577,MA,2018-05,4
1583,TX,2015-04,5
577,MA,2012-12,4
964,MA,2015-11,5
1082,FL,2013-08,1
825,FL,2014-06,3
293,MA,2009-05,2
1583,TX,2014-10,3
1082,FL,2015-11,5
1583,TX,2016-05,4
964,MA,2018-05,4
825,FL,2010-07,5
825,FL,2013-01,4
964,MA,2016-02,4
964,MA,2018-05,5
577,MA,2015-04,2
350,MA,2017-08,4
426,MA,2017-07,5
1583,TX,2013-09,5
1082,FL,2013-04,3
825,FL,2011-07,5
1583,TX,2008-05,4
1082,FL,2013-02,4
1583,TX,2011-02,4
201,MA,2016-07,1
825,FL,2011-03,5
350,MA,2016-09,4
1583,TX,2016-01,5
1082,FL,2018-07,4
426,MA,2013-12,5
1583,TX,2011-10,4
1583,TX,2011-03,1
350,MA,2013-12,5
1583,TX,2016-02,4
1082,FL,2018-04,4
1583,TX,2018-08,5
1082,FL,2018-07,5
1583,TX,2015-02,1
27,BC,2016-09,5
419,FL,2017-04,5
1583,TX,2018-04,3
419,FL,2017-05,5
107,FL,2012-06,5
426,MA,2016-08,5
1082,FL,2014-10,4
1583,TX,2007-05,1
426,MA,2014-02,4
825,FL,2008-08,5
419,FL,2016-02,4
577,MA,2010-07,4
577,MA,2014-05,3
426,MA,2015-05,4
458,TX,2018-01,4
201,MA,2016-10,4
964,MA,2014-06,5
964,MA,2016-02,4
825,FL,2012-06,5
1082,FL,2018-05,2
1583,TX,2013-09,2
1082,FL,2013-01,1
1583,TX,2012-10,4
107,FL,2016-08,1
1082,FL,2016-03,5
419,FL,2018-06,1
350,MA,2018-07,4
58,BC,2018-04,5
577,MA,2014-01,3
825,FL,2016-05,4
577,MA,2014-06,4
825,FL,2015-03,5
825,FL,2016-05,1
419,FL,2015-11,5
1583,TX,2015-09,5
1583,TX,2013-02,3
458,TX,2007-12,3
426,MA,2015-08,4
1583,TX,2013-04,3
1583,TX,2008-08,4
1082,FL,2015-02,5
964,MA,2014-01,4
1082,FL,2008-09,4
1082,FL,2017-11,4
118,MA,2018-05,5
1583,TX,2014-04,2
1583,TX,2017-05,1
426,MA,2015-03,5
825,FL,2013-07,5
350,MA,2015-02,3
350,MA,2017-02,5
1583,TX,2008-05,4
825,FL,2016-01,5
1082,FL,2012-05,3
419,FL,2018-02,2
964,MA,2017-08,4
419,FL,2015-07,3
1082,FL,2009-01,4
59,TX,2017-04,5
160,MA,2014-12,5
419,FL,2018-06,5
76,TX,2015-05,3
1082,FL,2013-01,3
1082,FL,2009-01,5
350,MA,2012-10,5
58,BC,2018-04,3
964,MA,2012-04,3
293,MA,2009-05,4
1082,FL,2016-05,2
1583,TX,2017-07,5
1082,FL,2008-11,5
1082,FL,2012-09,5
458,TX,2018-06,5
426,MA,2013-12,5
577,MA,2013-01,4
426,MA,2015-05,4
577,MA,2015-01,3
458,TX,2016-04,5
964,MA,2012-02,4
1583,TX,2016-08,2
964,MA,2018-05,5
350,MA,2010-10,2
1082,FL,2014-07,1
201,MA,2017-07,5
964,MA,2011-02,4
825,FL,2012-12,4
293,MA,2006-06,4
293,MA,2007-05,5
419,FL,2016-11,2
577,MA,2013-11,4
964,MA,2017-12,5
1583,TX,2015-08,4
577,MA,2013-12,4
426,MA,2018-05,2
577,MA,2014-06,4
419,FL,2015-06,3
72,OR,2017-07,1
122,BC,2018-04,4
426,MA,2018-05,5
55,OH,2014-08,1
577,MA,2015-08,2
577,MA,2010-11,4
29,FL,2015-07,1
1082,FL,2009-05,5
1082,FL,2018-02,5
964,MA,2013-05,4
293,MA,2017-08,1
426,MA,2018-02,2
458,TX,2012-08,3
1583,TX,2010-07,5
1583,TX,2009-10,5
107,FL,2014-11,4
1082,FL,2017-07,5
964,MA,2017-03,3
1082,FL,2018-06,5
964,MA,2017-07,4
825,FL,2015-10,5
350,MA,2010-07,4
825,FL,2016-07,5
1583,TX,2014-10,5
1583,TX,2016-06,2
825,FL,2015-05,1
964,MA,2015-05,5
55,OH,2016-07,1
1082,FL,2014-02,1
825,FL,2012-10,3
419,FL,2015-11,1
458,TX,2018-06,2
1583,TX,2015-11,3
964,MA,2017-04,5
1583,TX,2017-01,1
1082,FL,2017-07,1
1082,FL,2017-03,4
426,MA,2016-05,1
1583,TX,2013-05,4
1583,TX,2014-09,4
1082,FL,2013-12,5
825,FL,2014-09,5
122,BC,2011-04,4
1583,TX,2010-03,4
458,TX,2015-10,2
458,TX,2015-04,2
1082,FL,2011-04,1
1082,FL,2008-11,5
964,MA,2017-10,5
577,MA,2011-10,4
1583,TX,2011-01,3
1583,TX,2007-12,3
1082,FL,2017-03,5
577,MA,2016-05,4
1082,FL,2008-09,5
1082,FL,2013-07,5
458,TX,2010-03,5
825,FL,2015-02,5
1082,FL,2012-09,3
1583,TX,2015-11,2
419,FL,2017-08,2
825,FL,2013-01,3
426,MA,2015-05,5
1082,FL,2009-01,4
293,MA,2017-05,1
55,OH,2017-01,4
825,FL,2015-02,5
1082,FL,2014-03,4
458,TX,2008-08,5
1082,FL,2008-11,5
160,MA,2010-01,3
458,TX,2013-04,4
293,MA,2018-06,2
1583,TX,2012-01,1
350,MA,2006-06,3
1583,TX,2018-04,2
1082,FL,2015-08,1
458,TX,2016-05,5
825,FL,2016-04,5
293,MA,2012-04,4
1583,TX,2016-04,2
458,TX,2014-04,5
160,MA,2016-05,1
426,MA,2014-03,5
293,MA,2013-02,5
1583,TX,2016-02,4
160,MA,2015-04,2
107,FL,2016-07,5
293,MA,2016-10,2
825,FL,2012-04,5
1583,TX,2011-09,4
160,MA,2015-05,3
426,MA,2014-10,4
419,FL,2015-10,4
1583,TX,2014-02,4
1583,TX,2016-12,3
825,FL,2011-03,5
133,WA,2014-05,5
1082,FL,2018-06,5
1082,FL,2008-11,4
1082,FL,2017-04,1
1583,TX,2008-05,2
1583,TX,2015-01,3
160,MA,2014-10,1
426,MA,2018-04,5
964,MA,2018-05,3
1583,TX,2018-04,4
964,MA,2013-03,5
426,MA,2014-06,4
293,MA,2006-06,4
1583,TX,2009-05,5
964,MA,2016-11,5
350,MA,2015-07,2
1583,TX,2006-02,4
1082,FL,2018-07,5
825,FL,2014-02,4
107,FL,2016-11,1
825,FL,2014-06,5
577,MA,2015-06,4
577,MA,2014-08,4
577,MA,2011-10,4
426,MA,2016-10,4
1082,FL,2015-04,3
350,MA,2009-03,2
825,FL,2011-04,4
1583,TX,2010-01,4
825,FL,2016-08,5
350,MA,2018-01,4
1583,TX,2014-07,5
419,FL,2016-08,2
577,MA,2013-12,5
72,OR,2016-04,1
419,FL,2017-04,3
825,FL,2018-05,3
419,FL,2017-08,1
1082,FL,2013-09,4
577,MA,2013-08,4
426,MA,2015-05,5
1082,FL,2008-10,5
122,BC,2015-02,4
577,MA,2014-01,4
458,TX,2011-10,1
964,MA,2015-10,1
293,MA,2018-05,5
964,MA,2013-05,5
1082,FL,2008-06,5
964,MA,2018-08,5
1583,TX,2015-02,5
1082,FL,2016-04,1
964,MA,2017-04,5
1583,TX,2009-08,2
964,MA,2018-01,4
426,MA,2017-01,5
1082,FL,2008-11,5
44,TX,2017-05,1
964,MA,2012-05,4
1082,FL,2015-05,2
1583,TX,2016-02,5
964,MA,2018-09,5
964,MA,2016-05,4
293,MA,2018-06,5
964,MA,2015-02,5
964,MA,2015-08,1
1583,TX,2013-10,5
1082,FL,2015-03,5
350,MA,2016-09,5
458,TX,2015-12,2
577,MA,2017-01,5
1082,FL,2014-06,3
1583,TX,2015-04,1
1583,TX,2012-01,4
1082,FL,2010-11,5
1082,FL,2011-02,5
577,MA,2011-07,5
1082,FL,2014-03,5
577,MA,2012-07,4
825,FL,2014-10,5
1082,FL,2008-11,5
19,MA,2017-09,4
1583,TX,2018-09,3
419,FL,2016-08,1
964,MA,2015-08,5
964,MA,2017-07,5
1583,TX,2018-02,4
458,TX,2008-12,4
1082,FL,2008-09,4
419,FL,2017-08,1
419,FL,2016-09,2
426,MA,2014-06,5
160,MA,2011-06,3
458,TX,2017-06,4
577,MA,2014-04,1
1583,TX,2009-05,5
293,MA,2012-07,5
201,MA,2013-09,4
419,FL,2017-03,3
1583,TX,2013-12,4
1583,TX,2008-08,3
458,TX,2015-08,4
1583,TX,2015-07,4
825,FL,2015-04,5
825,FL,2016-07,4
577,MA,2013-12,1
458,TX,2014-04,2
964,MA,2014-02,5
1583,TX,2012-06,2
1082,FL,2013-02,5
964,MA,2017-07,4
458,TX,2017-01,2
964,MA,2017-07,5
964,MA,2017-06,5
458,TX,2017-01,5
825,FL,2010-11,4
1583,TX,2010-05,3
1583,TX,2015-08,5
419,FL,2017-05,2
964,MA,2016-05,3
107,FL,2018-02,2
825,FL,2014-12,2
1583,TX,2018-08,4
1583,TX,2013-10,5
964,MA,2016-11,5
160,MA,2018-08,4
426,MA,2017-03,4
1583,TX,2015-07,5
964,MA,2017-10,5
426,MA,2017-04,4
458,TX,2011-01,4
964,MA,2015-10,5
577,MA,2012-03,5
1583,TX,2015-01,1
1583,TX,2013-12,1
577,MA,2014-12,4
1082,FL,2013-06,3
1583,TX,2018-06,5
1583,TX,2013-12,5
293,MA,2018-07,5
825,FL,2013-10,5
1082,FL,2016-03,4
1082,FL,2011-01,5
1082,FL,2008-11,4
419,FL,2017-02,3
1583,TX,2014-05,4
1082,FL,2010-03,2
1082,FL,2013-01,5
58,BC,2017-12,5
1583,TX,2011-03,5
1082,FL,2008-09,4
90,MA,2017-10,4
201,MA,2016-01,2
350,MA,2015-08,5
1082,FL,2010-08,5
825,FL,2010-07,4
1583,TX,2010-10,5
1583,TX,2013-10,4
426,MA,2016-02,5
419,FL,2015-12,5
1583,TX,2018-06,4
964,MA,2015-05,5
201,MA,2014-03,3
350,MA,2015-05,5
1082,FL,2010-02,4
1082,FL,2017-11,4
419,FL,2017-04,3
1082,FL,2015-04,5
1583,TX,2015-07,1
1583,TX,2018-03,5
1082,FL,2018-04,5
825,FL,2017-07,5
964,MA,2012-12,1
964,MA,2015-04,2
350,MA,2007-06,4
1583,TX,2013-05,5
458,TX,2016-07,1
1082,FL,2015-01,4
1082,FL,2008-11,5
419,FL,2016-04,4
120,WA,2018-02,1
293,MA,2016-08,1
426,MA,2015-06,3
1583,TX,2009-10,4
1583,TX,2017-05,5
825,FL,2013-02,5
350,MA,2016-10,5
1583,TX,2018-05,5
964,MA,2011-01,4
825,FL,2014-10,5
964,MA,2012-03,3
1082,FL,2008-11,5
964,MA,2015-11,5
1082,FL,2015-08,5
964,MA,2017-01,4
426,MA,2014-12,5
426,MA,2017-10,5
1082,FL,2008-11,5
1583,TX,2012-01,5
825,FL,2010-03,5
577,MA,2010-08,4
293,MA,2006-06,5
1082,FL,2008-08,2
201,MA,2013-05,5
825,FL,2014-11,5
1583,TX,2016-10,2
350,MA,2017-03,5
1583,TX,2018-03,5
419,FL,2018-07,1
107,FL,2011-09,3
1583,TX,2016-02,5
1583,TX,2016-11,5
1583,TX,2009-10,4
1583,TX,2017-07,5
964,MA,2015-02,2
825,FL,2018-02,5
825,FL,2012-09,4
458,TX,2018-04,5
964,MA,2014-08,4
1583,TX,2013-02,5
1583,TX,2018-06,4
1583,TX,2012-12,2
825,FL,2016-01,5
458,TX,2017-10,4
1082,FL,2012-05,4
1583,TX,2011-02,4
293,MA,2018-05,5
1082,FL,2012-10,4
1082,FL,2006-08,4
293,MA,2016-02,3
458,TX,2017-05,5
964,MA,2013-07,3
1583,TX,2013-08,4
825,FL,2015-10,5
1583,TX,2016-11,3
72,OR,2017-07,1
419,FL,2015-08,1
1583,TX,2015-10,3
1082,FL,2012-02,5
5,MA,2015-12,1
1583,TX,2010-08,4
350,MA,2008-05,5
419,FL,2017-02,4
1082,FL,2015-01,4
122,BC,2015-08,1
825,FL,2017-11,1
1583,TX,2014-02,4
458,TX,2016-05,5
825,FL,2008-05,4
1082,FL,2015-03,5
58,BC,2016-12,1
825,FL,2013-02,5
1082,FL,2015-09,4
1583,TX,2016-07,4
1583,TX,2012-10,3
90,MA,2018-05,3
1082,FL,2010-09,5
293,MA,2016-03,4
1583,TX,2008-09,5
1583,TX,2015-10,4
90,MA,2018-08,5
964,MA,2015-01,5
350,MA,2016-05,5
1583,TX,2011-11,3
825,FL,2013-08,4
577,MA,2011-03,3
825,FL,2017-11,5
426,MA,2016-12,3
964,MA,2011-08,4
1583,TX,2018-05,5
825,FL,2014-08,5
1583,TX,2014-05,2
1583,TX,2018-06,5
1583,TX,2015-01,1
72,OR,2016-07,1
964,MA,2017-12,4
419,FL,2015-08,4
293,MA,2013-01,2
577,MA,2015-09,2
1583,TX,2017-12,1
964,MA,2016-11,4
426,MA,2015-02,5
293,MA,2010-07,1
1082,FL,2013-12,5
964,MA,2014-07,5
29,OH,2017-11,1
458,TX,2008-05,5
1082,FL,2018-03,3
1082,FL,2008-11,3
41,OH,2016-01,4
426,MA,2016-04,4
426,MA,2016-01,5
76,TX,2018-08,4
1082,FL,2012-10,4
133,WA,2017-01,5
1082,FL,2008-09,4
1082,FL,2018-04,5
964,MA,2018-02,3
350,MA,2007-06,5
1082,FL,2010-05,4
419,FL,2018-01,4
90,MA,2017-08,3
1082,FL,2016-05,5
964,MA,2014-11,4
1082,FL,2015-05,2
160,MA,2009-06,4
44,TX,2014-08,3
1082,FL,2014-10,2
825,FL,2011-02,5
458,TX,2015-09,3
964,MA,2016-05,3
825,FL,2013-12,4
825,FL,2018-04,5
1082,FL,2009-10,5
964,MA,2015-11,5
426,MA,2014-06,5
293,MA,2006-08,4
825,FL,2016-05,5
458,TX,2011-01,4
1082,FL,2013-03,5
350,MA,2008-05,4
1082,FL,2015-04,5
1583,TX,2011-08,4
122,BC,2014-10,3
120,WA,2018-03,2
90,MA,2017-12,1
964,MA,2018-07,5
825,FL,2010-03,5
1583,TX,2008-01,5
458,TX,2009-10,1
160,MA,2014-01,5
1082,FL,2008-11,5
825,FL,2016-07,5
426,MA,2017-12,4
133,WA,2016-07,5
458,TX,2018-08,3
1082,FL,2012-05,5
1583,TX,2017-05,3
419,FL,2015-10,1
825,FL,2015-11,3
577,MA,2012-04,4
1082,FL,2015-11,4
964,MA,2015-10,5
1082,FL,2011-04,4
419,FL,2017-08,4
90,MA,2017-07,3
825,FL,2014-09,5
1082,FL,2008-10,5
458,TX,2018-09,4
160,MA,2014-10,2
293,MA,2017-07,5
293,MA,2012-10,3
1082,FL,2008-11,5
1583,TX,2011-02,5
1583,TX,2015-07,5
350,MA,2017-01,4
825,FL,2015-02,5
825,FL,2017-02,5
1583,TX,2014-05,3
1583,TX,2011-01,1
825,FL,2015-11,5
825,FL,2013-12,1
419,FL,2018-06,2
1082,FL,2008-11,3
426,MA,2014-06,5
350,MA,2009-03,4
350,MA,2011-01,4
426,MA,2013-12,5
1082,FL,2014-08,3
1583,TX,2007-06,4
825,FL,2017-01,2
293,MA,2009-03,4
59,TX,2010-12,3
577,MA,2011-02,4
55,OH,2017-08,4
90,MA,2017-11,5
577,MA,2017-11,4
825,FL,2017-01,4
350,MA,2012-11,4
1082,FL,2013-01,3
1082,FL,2012-01,5
419,FL,2015-11,4
1082,FL,2018-03,5
133,WA,2013-08,2
1583,TX,2017-01,5
1583,TX,2015-07,5
1583,TX,2017-04,1
19,MA,2014-06,5
122,BC,2016-07,2
1082,FL,2013-12,5
964,MA,2015-01,4
1583,TX,2014-06,5
76,TX,2018-01,4
825,FL,2016-04,4
577,MA,2015-03,2
107,FL,2017-01,3
577,MA,2014-11,3
350,MA,2010-08,2
41,OH,2017-06,5
160,MA,2006-03,5
1082,FL,2018-06,5
825,FL,2014-11,3
1583,TX,2010-07,5
1583,TX,2016-06,4
825,FL,2011-08,5
1082,FL,2011-02,5
426,MA,2016-06,5
1583,TX,2016-08,5
1583,TX,2014-01,2
1583,TX,2011-01,1
964,MA,2018-02,5
293,MA,2016-07,1
964,MA,2014-07,4
122,BC,2016-01,1
825,FL,2013-08,5
964,MA,2012-05,1
160,MA,2009-05,3
1583,TX,2016-09,4
1082,FL,2016-06,5
118,MA,2018-06,5
133,WA,2010-03,3
419,FL,2017-03,5
1583,TX,2016-11,4
118,MA,2018-07,4
1583,TX,2015-01,4
1583,TX,2018-02,5
1082,FL,2008-10,5
1082,FL,2016-06,1
825,FL,2014-02,4
1583,TX,2013-09,3
350,MA,2008-12,3
964,MA,2015-12,5
577,MA,2014-12,1
133,WA,2014-11,4
1082,FL,2009-03,2
825,FL,2016-10,5
825,FL,2015-01,5
458,TX,2015-02,4
1583,TX,2011-12,4
1583,TX,2011-12,1
1082,FL,2008-09,5
964,MA,2016-09,4
1082,FL,2008-11,5
964,MA,2015-12,5
825,FL,2008-05,4
1583,TX,2013-10,5
964,MA,2014-09,5
825,FL,2017-07,4
458,TX,2018-02,5
1583,TX,2015-09,5
1082,FL,2012-04,5
426,MA,2018-03,5
1082,FL,2016-04,5
577,MA,2014-04,1
350,MA,2010-03,1
964,MA,2014-09,5
419,FL,2016-12,1
577,MA,2016-07,5
458,TX,2017-07,5
1082,FL,2016-06,3
1082,FL,2012-09,2
1583,TX,2016-01,5
1082,FL,2012-11,5
964,MA,2018-02,5
426,MA,2018-08,4
1583,TX,2018-05,4
825,FL,2016-03,5
577,MA,2010-10,4
577,MA,2015-09,4
160,MA,2013-08,2
458,TX,2008-12,4
1583,TX,2013-09,5
1082,FL,2017-02,5
293,MA,2009-06,5
1082,FL,2016-01,5
426,MA,2015-06,4
122,BC,2017-01,1
825,FL,2016-07,5
825,FL,2016-10,4
1082,FL,2016-07,4
293,MA,2017-08,5
419,FL,2015-08,2
293,MA,2014-10,4
1583,TX,2008-01,3
1082,FL,2016-08,2
964,MA,2012-12,4
72,OR,2017-06,1
76,TX,2016-07,2
160,MA,2006-08,4
458,TX,2009-08,3
90,MA,2018-08,5
160,MA,2011-08,4
825,FL,2012-06,4
964,MA,2018-08,5
419,FL,2016-12,3
350,MA,2009-10,4
964,MA,2011-07,5
426,MA,2017-02,5
964,MA,2013-09,5
577,MA,2013-07,4
1082,FL,2017-07,3
1583,TX,2013-12,4
1583,TX,2017-04,4
577,MA,2015-01,3
29,FL,2017-05,1
1082,FL,2012-10,3
1583,TX,2011-01,3
1583,TX,2012-10,5
825,FL,2014-12,3
1583,TX,2011-11,4
1583,TX,2014-08,5
458,TX,2014-01,4
458,TX,2015-07,3
458,TX,2009-03,3
825,FL,2018-03,5
458,TX,2007-12,4
1583,TX,2012-01,4
293,MA,2013-03,5
577,MA,2015-09,4
964,MA,2016-01,3
426,MA,2015-06,5
426,MA,2015-07,2
1583,TX,2010-01,5
964,MA,2015-05,3
133,WA,2014-09,1
964,MA,2012-11,2
1082,FL,2008-10,5
419,FL,2017-01,4
577,MA,2010-10,3
1082,FL,2008-11,3
458,TX,2015-01,5
426,MA,2014-07,2
55,OH,2014-11,1
577,MA,2018-03,5
1583,TX,2013-07,1
293,MA,2007-06,4
1583,TX,2018-04,4
964,MA,2015-08,4
825,FL,2016-05,1
59,TX,2011-12,3
426,MA,2017-06,2
1583,TX,2018-06,3
1082,FL,2008-12,5
577,MA,2010-10,4
577,MA,2014-04,4
1082,FL,2015-12,3
1082,FL,2015-03,4
1583,TX,2016-05,2
1082,FL,2017-09,5
1583,TX,2014-06,5
426,MA,2016-09,5
825,FL,2014-04,3
458,TX,2017-03,2
1583,TX,2012-09,4
55,OH,2015-07,1
419,FL,2015-11,4
350,MA,2017-04,3
1583,TX,2012-07,5
825,FL,2007-07,5
419,FL,2017-03,4
41,OH,2017-01,2
426,MA,2015-10,3
1583,TX,2015-02,4
964,MA,2018-08,5
90,MA,2017-11,5
29,OH,2018-05,4
293,MA,2011-02,4
825,FL,2016-01,5
1583,TX,2015-01,5
160,MA,2014-06,2
964,MA,2017-09,5
122,BC,2014-11,4
964,MA,2017-11,5
1082,FL,2011-10,4
577,MA,2015-10,4
41,OH,2017-05,2
293,MA,2016-05,5
72,OR,2017-07,5
458,TX,2014-07,4
458,TX,2017-03,1
201,MA,2015-11,4
964,MA,2015-12,5
825,FL,2012-01,5
293,MA,2017-09,4
1583,TX,2007-06,3
293,MA,2015-12,5
293,MA,2013-10,1
1583,TX,2015-02,4
1583,TX,2011-02,4
59,TX,2008-01,4
1583,TX,2016-07,4
1082,FL,2008-11,5
964,MA,2011-07,5
825,FL,2011-06,4
577,MA,2013-03,4
1082,FL,2010-03,5
1583,TX,2009-10,4
825,FL,2014-05,4
1082,FL,2012-03,4
1082,FL,2014-07,5
964,MA,2011-08,5
293,MA,2012-03,4
350,MA,2015-02,5
426,MA,2015-11,4
1583,TX,2010-07,3
1082,FL,2017-08,3
825,FL,2014-05,3
350,MA,2006-01,3
577,MA,2017-02,4
964,MA,2013-06,4
825,FL,2010-08,5
1583,TX,2008-01,4
1082,FL,2017-07,4
964,MA,2017-10,4
426,MA,2014-01,4
964,MA,2014-03,4
964,MA,2015-09,5
426,MA,2015-12,5
1082,FL,2008-11,5
1583,TX,2014-08,3
122,BC,2016-08,2
90,MA,2017-09,2
1082,FL,2018-06,4
426,MA,2014-08,5
825,FL,2015-03,1
107,FL,2017-04,3
1583,TX,2016-09,1
964,MA,2011-10,2
201,MA,2014-11,5
419,FL,2015-10,3
293,MA,2018-06,4
1583,TX,2018-02,2
458,TX,2013-07,2
